,categoria,marca,nombre,tipo,precio_sin_desc,descuento,precio_con_desc,valoracion,num_valoraciones
735,Perfumes para Mujer,GUCCI,Guilty,Eau de Parfum para mujer,"79,00€",No aparece,"34,95€",82%,11
736,Perfumes para Mujer,DIOR,Hypnotic Poison,Eau de Toilette para mujer,"74,00€",No aparece,"55,25€",94%,33
737,Perfumes para Mujer,ELIZABETH ARDEN,Sunflowers,Eau de toilette para mujer,"15,10€",No aparece,"12,95€",96%,101
738,Perfumes para Mujer,NARCISO RODRIGUEZ,All Of Me,Eau de Parfum para Mujer,"77,00€",,"49,95€",100%,2
739,Perfumes para Mujer,LOEWE,Agua Mar De Coral,Eau de Toilette para mujer,"71,00€",,"45,95€",98%,28
740,Perfumes para Mujer,TOUS,Tous,Eau De Toilette para Mujer,"89,00€",,"39,95€",96%,72
741,Perfumes para Mujer,HUGO BOSS,Boss Alive,Eau de Parfum para mujer,"71,00€",,"34,95€",91%,30
742,Perfumes para Mujer,CAROLINA HERRERA,Estuche 212 Vip Rosé,Eau de parfum para mujer,"126,00€",No aparece,"76,95€",94%,7
743,Perfumes para Mujer,LANCASTER,Eau De Lancaster,Eau de Toilette para mujer,"59,00€",,"16,95€",85%,71
744,Perfumes para Mujer,JIMMY CHOO,I Want Choo,Eau de Parfum para mujer,"72,00€",,"34,95€",96%,9
745,Perfumes para Mujer,TOUS,L'eau De Toilette,Eau de Toilette para mujer,"76,00€",No aparece,"29,95€",96%,54
746,Perfumes para Mujer,VERSACE,Crystal Noir,Eau de Toilette para Mujer,"68,00€",,"39,95€",Sin rating,
747,Perfumes para Mujer,LANCOME,Estuche O De Lancôme,Eau de Toilette para Mujer,"88,00€",No aparece,"46,95€",94%,78
748,Perfumes para Mujer,CHLOE,Love Story,Eau de Parfum para Mujer,"73,00€",,"32,95€",94%,44
749,Perfumes para Mujer,JIMMY CHOO,Estuche I Want Choo Forever,Eau de Parfum para Mujer,"131,00€",No aparece,"79,95€",100%,2
750,Perfumes para Mujer,NARCISO RODRIGUEZ,Narciso Poudre,Eau de parfum para mujer,"105,00€",,"67,95€",95%,62
751,Perfumes para Mujer,MOSCHINO,Fresh Couture,Eau de toilette para mujer,"98,00€",No aparece,"39,95€",92%,5
752,Perfumes para Mujer,CACHAREL,Anais Anais Premier Délice,Eau de Toilette para Mujer,"33,00€",,"19,95€",93%,70
753,Perfumes para Mujer,ELIZABETH ARDEN,Red Door,Eau de Toilette para Mujer,"81,00€",,"26,75€",94%,14
754,Perfumes para Mujer,LOEWE,A Mi Aire,Eau de Toilette para mujer,"126,00€",No aparece,"81,90€",98%,9
755,Perfumes para Mujer,CALVIN KLEIN,Truth,Eau de Parfum para mujer,"87,90€",,"34,95€",94%,16
756,Perfumes para Mujer,HERMÈS,Eau Des Merveilles,Eau de toilette para mujer,"150,00€",No aparece,"89,95€",100%,8
757,Perfumes para Mujer,LOEWE,Aura White Magnolia,Eau de Parfum para mujer,"66,00€",,"42,90€",93%,49
758,Perfumes para Mujer,ANGEL SCHLESSER,Femme Intense,Eau de Parfum para Mujer,"90,00€",No aparece,"39,95€",96%,14
759,Perfumes para Mujer,ROCHAS,Estuche Byzance,Eau de Parfum para mujer,"116,00€",No aparece,"59,95€",100%,5
760,Perfumes para Mujer,KENZO,Jungle,Eau de Parfum para Mujer,"131,00€",No aparece,"63,95€",100%,1
761,Perfumes para Mujer,PACO RABANNE,Estuche Fame,Eau de Parfum para Mujer,"136,50€",No aparece,"89,95€",87%,11
762,Perfumes para Mujer,YVES SAINT LAURENT,Estuche Mon Paris,Eau de parfum para mujer,"138,50€",No aparece,"79,95€",88%,15
763,Perfumes para Mujer,ARMANI,My Way Intense,Eau de Parfum para mujer,"87,00€",,"46,95€",99%,107
764,Perfumes para Mujer,ALYSSA ASHLEY,Musk By Alyssa Ashley,Eau de Toilette Unisex,Sin precio,No aparece,Sin precio,Sin rating,
765,Perfumes para Mujer,TOUS,Estuche Tous Kids Girl,Eau de Toilette para Niñas,"59,50€",No aparece,"33,95€",90%,18
766,Perfumes para Mujer,CALVIN KLEIN,Eternity Summer,Eau de Parfum para Mujer,"95,00€",No aparece,"36,95€",95%,4
767,Perfumes para Mujer,MOSCHINO,Cheap & Chic So Real,Eau de toilette para mujer,"98,00€",No aparece,"34,95€",100%,5
768,Perfumes para Mujer,DOLCE & GABBANA,Estuche D&G Light Blue,Eau de toilette para mujer,"162,00€",No aparece,"69,95€",96%,286
769,Perfumes para Mujer,ELIZABETH ARDEN,5Th Avenue,Eau de Parfum para mujer,Sin precio,No aparece,Sin precio,94%,157
770,Perfumes para Mujer,MARC JACOBS,Perfect,Eau de Parfum para Mujer,"105,00€",,"48,95€",94%,31
771,Perfumes para Mujer,Nº 4711,Original,Eau de Cologne unisex,"32,00€",,"10,95€",90%,33
772,Perfumes para Mujer,JEAN PAUL GAULTIER,Estuche La Belle,Eau de Parfum para mujer,"134,00€",No aparece,"79,95€",95%,11
773,Perfumes para Mujer,GUERLAIN,L' Instant De Guerlain,Eau de Parfum para mujer,"146,50€",No aparece,"88,95€",100%,2
774,Perfumes para Mujer,GIVENCHY,L'interdit Rouge,Eau de Parfum para mujer,"81,00€",,"48,95€",96%,27
775,Perfumes para Mujer,MUGLER,Recarga Alien Goddess,Eau de Parfum para Mujer,"130,00€",No aparece,"79,95€",Sin rating,
776,Perfumes para Mujer,HERMÈS,Un Jardin En Méditeranée,Eau de Toilette Unisex,"133,00€",,"69,95€",94%,13
777,Perfumes para Mujer,TOUS,Oh! The Origin,Eau de Parfum para mujer,"96,00€",,"40,95€",96%,9
778,Perfumes para Mujer,DOLCE & GABBANA,The Only One,Eau de Parfum para mujer,"110,00€",,"64,95€",91%,7
779,Perfumes para Mujer,VERSACE,Yellow Diamond,Eau de Toilette para Mujer,"92,00€",,"54,95€",96%,52
780,Perfumes para Mujer,NARCISO RODRIGUEZ,For Her Musc Noir,Eau de Parfum para mujer,"73,00€",,"47,50€",92%,35
781,Perfumes para Mujer,CACHAREL,Yes I Am Delicious,Eau de Parfum para Mujer,"85,00€",,"40,95€",98%,38
782,Perfumes para Mujer,DIOR,Cofre Miss Dior,Eau de Parfum para Mujer,"187,60€",No aparece,"139,95€",Sin rating,
783,Perfumes para Mujer,NINA RICCI,L'air Du Temps,Eau de Toilette para mujer,"128,50€",No aparece,"59,95€",97%,47
784,Perfumes para Mujer,CAROLINA HERRERA,Estuche Ch,Eau de toilette para mujer,"128,50€",No aparece,"75,95€",97%,38
785,Perfumes para Mujer,VIKTOR & ROLF,Bonbon,Eau de Parfum para mujer,"79,00€",,"49,95€",99%,14
786,Perfumes para Mujer,JIMMY CHOO,Floral,Eau de Toilette para mujer,"46,00€",,"19,95€",93%,18
787,Perfumes para Mujer,NARCISO RODRIGUEZ,Narciso Ambrée,Eau de Parfum para Mujer,"73,00€",,"47,50€",91%,25
788,Perfumes para Mujer,GUESS,Miami Shimmer Mist,Spray Corporal,"17,95€",No aparece,"11,95€",96%,11
789,Perfumes para Mujer,HUGO BOSS,Estuche Boss The Scent For Her,Eau de parfum para mujer,"122,75€",No aparece,"69,95€",95%,17
790,Perfumes para Mujer,ROCHAS,L'escapade Rochas,Eau de Toilette para Mujer,"95,00€",No aparece,"36,50€",83%,6
791,Perfumes para Mujer,PRADA,Infusion D'iris Cèdre,Eau de toilette Unisex,"150,00€",,"84,95€",86%,7
792,Perfumes para Mujer,ARMANI,In Love With You,Eau de parfum para mujer,"140,00€",,"64,95€",98%,8
793,Perfumes para Mujer,CARTIER,La Panthère,Parfum para Mujer,"106,00€",,"79,95€",91%,17
794,Perfumes para Mujer,POLICE,Sweet Girl,Eau de Parfum para mujer,"48,00€",No aparece,"19,95€",95%,4
795,Perfumes para Mujer,YVES SAINT LAURENT,Libre,Eau de Toilette para mujer,"110,00€",,"54,95€",97%,208
796,Perfumes para Mujer,YVES SAINT LAURENT,Parisienne,Eau de Parfum para mujer,"160,00€",No aparece,"94,95€",100%,2
