tienda,categoria,marca,nombre,tipo,precio_sin_desc,descuento,precio_con_desc,valoracion,num_valoraciones
paco,mujer,marc jacobs,daisy ever so fresh,eau de parfum,122.0,53.0,57.34,0,0
paco,mujer,hermès,un jardin sur le toit,eau de toilette,96.0,33.0,64.32,5,1
paco,mujer,dior,dolce vita,eau de toilette,105.93,0.0,105.93,4,28
paco,mujer,calvin klein,eternity intense,eau de parfum,64.0,53.0,30.08,0,0
paco,mujer,bvlgari,splendida jasmin noir,eau de parfum,96.0,35.0,62.4,5,1
paco,mujer,tous,les colognes concentrées,eau de toilette,86.0,57.0,36.98,3,5
paco,mujer,lancôme,la nuit trésor intense,eau de parfum,120.0,48.0,62.4,0,0
paco,mujer,montblanc,presence d'une femme,eau de toilette,83.0,66.0,28.22,5,3
paco,mujer,juicy couture,viva la juicy neon,eau de parfum,110.0,56.0,48.4,5,1
paco,mujer,givenchy,ange ou démon le secret,eau de parfum,148.0,43.0,84.36,4,18
paco,mujer,hermès,eau de rhubarbe écarlate,eau de cologne,118.0,38.0,73.16,5,1
paco,mujer,moschino,fresh couture,eau de toilette,98.0,59.0,40.18,5,8
paco,mujer,prada,infusion fleur d'oranger,eau de parfum,150.0,47.0,79.5,4,3
paco,mujer,elizabeth arden,splendor,eau de parfum,58.5,66.0,19.89,4,9
paco,mujer,carolina herrera,good girl blush,eau de parfum,77.5,32.0,52.7,5,1
paco,mujer,givenchy,irresistible rose velvet,eau de parfum,81.0,45.0,44.55,0,0
paco,mujer,prada,candy,eau de parfum,92.0,51.0,45.08,5,1
paco,mujer,hermès,eau de basilic pourpre,eau de cologne,87.0,54.0,40.02,0,0
paco,mujer,jimmy choo,i want choo forever,eau de parfum,106.0,48.0,55.12,0,0
paco,mujer,montblanc,femme individuelle,eau de toilette,83.0,65.0,29.05,4,14
paco,mujer,thierry mugler,alien goddess intense,eau de parfum,92.0,46.0,49.68,0,0
paco,mujer,boucheron,jaïpur bracelet,eau de parfum,94.0,63.0,34.78,5,2
paco,mujer,versace,dylan turquoise pour femme,eau de toilette,69.0,42.0,40.02,0,0
paco,mujer,hermès,eau d'orange verte,eau de cologne,87.0,31.0,60.03,0,0
paco,mujer,tous,loveme the silver parfum,parfum,52.5,43.0,29.93,0,0
paco,mujer,estée lauder,youth dew,eau de parfum,39.95,0.0,39.95,4,4
paco,mujer,guerlain,aqua allegoria herba fresca,eau de toilette,105.35,43.0,60.05,4,2
paco,mujer,versace,crystal noir,eau de toilette,69.0,40.0,41.4,0,0
paco,mujer,elizabeth arden,"sunflowers ""summer air limit edit""",eau de toilette,24.0,46.0,12.96,4,9
paco,mujer,biotherm,eau vitaminée,eau de toilette,60.0,50.0,30.0,4,26
paco,mujer,dior,diorissimo,eau de toilette,72.57,0.0,72.57,5,1
paco,mujer,nina ricci,nina fleur,eau de toilette,55.5,48.0,28.86,0,0
paco,mujer,hermès,un jardin sur la lagune,eau de toilette,70.0,33.0,46.9,0,0
paco,mujer,kenzo,flower by kenzo ikebana,eau de parfum,97.0,45.0,53.35,5,1
paco,mujer,zadig & voltaire,this is us!,eau de toilette,60.0,35.0,39.0,0,0
paco,mujer,tom ford,velvet orchid,eau de parfum,52.8,0.0,52.8,0,0
paco,mujer,elizabeth arden,ardenbeauty,eau de parfum,72.5,77.0,16.67,4,3
paco,mujer,clarins,eau dynamisante,eau de toilette,58.0,45.0,31.9,0,0
paco,mujer,escada,"show me love ""edición limitada""",eau de parfum,54.0,54.0,24.84,0,0
paco,mujer,tom ford,black orchid parfum gold,eau de parfum,99.0,0.0,99.0,0,0
paco,mujer,nina ricci,nina extra rouge,eau de parfum,80.5,40.0,48.3,0,0
paco,mujer,elizabeth arden,"sunflowers ""sunlight kiss limit edit""",eau de toilette,24.0,61.0,9.36,4,6
paco,mujer,givenchy,irresistible eau de toilette,eau de toilette,67.0,48.0,34.84,5,3
paco,mujer,alyssa ashley,musk edp,eau de parfum,56.65,38.0,35.12,4,6
paco,mujer,tom ford,white patchouli,eau de parfum,118.8,0.0,118.8,5,3
paco,mujer,hermès,twilly d'hermès estuche,eau de parfum,102.0,30.0,71.4,0,0
paco,mujer,angel schlesser,femme adorable,eau de toilette,60.0,56.0,26.4,5,3
paco,mujer,guerlain,insolence edt,eau de toilette,126.45,49.0,64.49,3,3
paco,mujer,gucci,bloom nettare di fiori,eau de parfum,80.0,50.0,40.0,4,1
paco,mujer,guerlain,aqua allegoria mandarine basilic forte,eau de parfum,121.4,42.0,70.41,5,1
paco,mujer,gucci,flora gorgeous magnolia,eau de parfum,79.0,37.0,49.77,0,0
paco,mujer,diesel,loverdose,eau de parfum,92.0,42.0,53.36,4,27
paco,mujer,kenzo,l'eau kenzo pour femme,eau de toilette,85.0,38.0,52.7,5,3
paco,mujer,pepe jeans,bright for her,eau de parfum,19.95,0.0,19.95,0,0
paco,mujer,estée lauder,estée,eau de parfum,48.95,0.0,48.95,5,3
paco,mujer,bvlgari,omnia amethyste,eau de toilette,73.0,35.0,47.45,0,0
