tienda,categoria,marca,nombre,tipo,precio_sin_desc,descuento,precio_con_desc,valoracion,num_valoraciones
perfumes24h,hombre,hermès,h24 - recargable,eau de toilette,113.26,47.07,59.95,4.0,2
perfumes24h,hombre,ralph lauren,ralph's club,eau de parfum,81.0,44.51,44.95,4.0,2
perfumes24h,hombre,angel schlesser,set les eaux d'un instant blooming grapefruit 100ml + gel 100ml,eau de toilette,50.0,46.1,26.95,4.0,2
perfumes24h,hombre,montblanc,legend red,eau de parfum,68.0,41.25,39.95,5.0,3
perfumes24h,hombre,hollister,canyon rush for him,eau de toilette,46.0,52.28,21.95,5.0,3
perfumes24h,hombre,armand basi,set armand basi homme 125ml + altavoz bluetooth,eau de toilette,59.0,40.76,34.95,5.0,3
perfumes24h,hombre,hugo boss,the scent for him magnetic,eau de parfum,110.0,50.05,54.95,5.0,1
perfumes24h,hombre,armaf,beau acute men,eau de parfum,38.0,52.76,17.95,5.0,1
perfumes24h,hombre,angel schlesser,les eaux d'un instant mediterranean cypress,eau de toilette,50.0,40.1,29.95,5.0,1
perfumes24h,hombre,adolfo domínguez,set agua fresca ébano salvia 120ml + 10ml + deodorant 150ml,eau de parfum,59.0,35.68,37.95,5.0,1
perfumes24h,hombre,4711,acqua colonia lychee & white mint,eau de cologne,26.5,47.36,13.95,5.0,1
perfumes24h,hombre,blood concept,blood concept ab parfum,parfum,88.0,27.81,63.53,5.0,1
perfumes24h,hombre,escentric,escentric 03,eau de toilette,99.0,33.88,65.46,5.0,1
perfumes24h,hombre,zadig & voltaire,this is him! undressed,eau de toilette,71.0,35.0,46.15,5.0,1
perfumes24h,hombre,salvatore ferragamo,savane di seta,eau de parfum,127.63,47.54,66.95,5.0,1
perfumes24h,hombre,blood concept,blood concept a parfum,parfum,101.0,37.1,63.53,5.0,1
perfumes24h,hombre,adolfo domínguez,set agua fresca vetiver terra 120ml + 10ml + deodorant 150ml,eau de parfum,59.0,28.9,41.95,4.5,2
perfumes24h,hombre,hackett london,essential,eau de parfum,72.0,48.68,36.95,4.5,2
perfumes24h,hombre,el ganso,sunday mood,eau de toilette,50.0,44.1,27.95,4.5,2
perfumes24h,hombre,ralph lauren,polo black,eau de toilette,55.0,25.55,40.95,5.0,1
perfumes24h,hombre,4711,acqua colonia white peach & coriander,eau de cologne,26.5,39.81,15.95,5.0,1
perfumes24h,hombre,tous,1920 the origin,eau de toilette,48.0,43.85,26.95,5.0,1
perfumes24h,hombre,calvin klein,ck everyone,eau de parfum,69.0,60.94,26.95,4.0,1
perfumes24h,hombre,blood concept,blood concept o parfum,parfum,88.0,27.81,63.53,4.0,1
perfumes24h,hombre,tommy hilfiger,impact spark,eau de toilette,57.0,38.68,34.95,4.0,1
perfumes24h,hombre,hackett london,bespoke,eau de parfum,72.0,48.68,36.95,4.0,1
perfumes24h,hombre,calvin klein,ck be,eau de toilette,40.0,57.63,16.95,4.8,17
perfumes24h,hombre,hugo boss,boss bottled,eau de toilette,40.0,17.62,32.95,5.0,32
perfumes24h,hombre,puig,quorum,eau de toilette,58.0,79.4,11.95,4.8,4
perfumes24h,hombre,hugo boss,set boss bottled 100ml + shower gel 100ml + deo spray 150ml,eau de toilette,116.0,56.94,49.95,4.8,4
perfumes24h,hombre,loewe,solo loewe,eau de toilette,84.0,28.63,59.95,4.8,6
perfumes24h,hombre,calvin klein,ck in2u for him,eau de toilette,40.0,65.12,13.95,5.0,5
perfumes24h,hombre,versace,blue jeans,eau de toilette,42.0,59.64,16.95,5.0,4
perfumes24h,hombre,paco rabanne,1 million,eau de toilette,68.5,27.08,49.95,5.0,7
perfumes24h,hombre,puig,agua brava - edición splash,eau de cologne,28.0,44.36,15.58,5.0,3
perfumes24h,hombre,playboy,playboy vip,eau de toilette,12.0,54.25,5.49,5.0,3
perfumes24h,hombre,yatch man,yacht man blue,eau de toilette,25.0,76.2,5.95,4.3,3
perfumes24h,hombre,calvin klein,ck one shock for him,eau de toilette,55.0,65.55,18.95,4.9,14
perfumes24h,hombre,armani,acqua di giò,eau de toilette,46.56,46.41,24.95,5.0,3
perfumes24h,hombre,hugo boss,hugo,eau de toilette,40.0,25.05,29.98,5.0,7
perfumes24h,hombre,adidas,ice dive,eau de toilette,23.0,69.78,6.95,5.0,7
perfumes24h,hombre,issey miyake,set l'eau d'issey pour homme 125ml + 15ml + shower gel 50ml,eau de toilette,127.0,54.37,57.95,5.0,7
perfumes24h,hombre,tommy hilfiger,tommy,eau de toilette,38.0,50.13,18.95,5.0,5
perfumes24h,hombre,dior,sauvage,eau de toilette,80.0,15.06,67.95,5.0,5
perfumes24h,hombre,cacharel,cacharel pour homme,eau de toilette,60.0,43.42,33.95,4.7,3
perfumes24h,hombre,calvin klein,eternity for men,eau de toilette,35.0,34.43,22.95,4.8,23
