tienda,categoria,marca,nombre,tipo,descuento,precio_sin_desc,precio_con_desc,valoracion,num_valoraciones
druni,hombre,hermès,eau intense vétiver,eau de parfum,31.0,98.0,67.95,4.95,14.0
druni,hombre,jimmy choo,jimmy choo man,eau de toilette,60.0,101.0,39.95,4.6,10.0
druni,hombre,narciso rodriguez,for him bleu noir,eau de toilette,35.0,72.0,46.5,4.4,16.0
druni,hombre,rochas,l'homme rochas,eau de toilette,58.0,72.0,29.95,4.75,33.0
druni,hombre,narciso rodriguez,bleu noir extreme,eau de toilette,46.0,67.0,35.95,4.4,8.0
druni,hombre,angel schlesser,instant instinctive marine,eau de toilette,53.0,53.0,24.95,4.7,13.0
druni,hombre,issey miyake,fusion d'issey,eau de toilette,35.0,73.0,47.5,4.75,38.0
druni,hombre,guerlain,habit rouge,eau de toilette,42.0,121.41,69.95,5.0,3.0
druni,hombre,f1 fragrances,neeeum white,eau de toilette,58.0,71.0,29.95,4.75,35.0
druni,hombre,el ganso,limoncello season,eau de toilette,45.0,69.0,37.95,4.5,14.0
druni,hombre,cartier,declaration fraicheur,eau de toilette,31.0,109.0,74.95,5.0,4.0
druni,hombre,montblanc,legend red,eau de parfum,47.0,76.0,39.95,4.0,4.0
druni,hombre,police,police born to shine men,eau de toilette,58.0,48.0,19.95,,
druni,hombre,carolina herrera,bad boy gold fantasy,eau de toilette,40.0,109.0,64.95,5.0,2.0
druni,hombre,mandarina duck,vida loca,eau de toilette,44.0,28.0,15.6,4.0,1.0
druni,hombre,head,motion,eau de toilette,43.0,26.0,14.95,3.0,1.0
druni,hombre,hollister,feeling good for him,eau de toilette,56.0,72.0,31.95,,
druni,hombre,karl lagerfeld,vienna opera,eau de toilette,70.0,100.0,29.95,,
druni,hombre,ralph lauren,polo cologne intense,eau de parfum,44.0,125.0,69.95,,
druni,hombre,givenchy,gentleman,eau de toilette,40.0,70.5,41.95,4.85,7.0
druni,hombre,pepe jeans,pepe jeans for him,eau de toilette,57.0,70.0,29.95,4.65,14.0
druni,hombre,el ganso,after game,eau de toilette,48.0,69.0,35.95,4.55,14.0
druni,hombre,jimmy choo,urban hero,eau de parfum,57.0,101.0,42.95,4.5,4.0
druni,hombre,guerlain,l'homme idéal extrême,eau de parfum,45.0,136.46,74.95,4.7,16.0
druni,hombre,beverly hills polo club,trophy,eau de toilette,40.0,50.0,29.95,4.45,13.0
druni,hombre,f1 fragrances,carbon reign,eau de toilette,54.0,65.0,29.95,4.45,23.0
druni,hombre,ungaro,fresh emanuel ungaro,eau de toilette,62.0,50.0,18.95,4.65,6.0
druni,hombre,issey miyake,fussion d' issey extrème,eau de toilette,35.0,106.0,68.5,3.75,4.0
druni,hombre,f1 fragrances,estuche neeeum white,eau de toilette,53.0,75.0,34.95,4.7,35.0
druni,hombre,zadig & voltaire,this is him!vibes of freedom,eau de toilette,35.0,71.0,45.95,5.0,2.0
