tienda,categoria,marca,nombre,tipo,precio_sin_desc,descuento,precio_con_desc,valoracion,num_valoraciones
notino,hombre,fragrance du bois,sahraa,parfum,367.1,0.0,367.1,,
notino,hombre,fragrance du bois,secret tryst,parfum,309.0,0.0,309.0,,
notino,hombre,unique'e luxury,beril,parfum,291.6,0.0,291.6,,
notino,hombre,fragrance du bois,cannabis blue,parfum,298.7,0.0,298.7,,
notino,hombre,fragrance du bois,milano,parfum,215.8,0.0,215.8,,
notino,hombre,fragrance du bois,solstis,parfum,327.9,0.0,327.9,,
notino,hombre,fragrance du bois,oud rose intense,parfum,512.5,0.0,512.5,,
notino,hombre,iceberg,change the flow,eau de toilette,19.4,0.0,19.4,,
notino,hombre,fragrance du bois,amber intense,parfum,618.2,0.0,618.2,,
notino,hombre,armani,acqua di giò parfum,parfum,60.0,0.0,60.0,,
notino,hombre,matiere premiere,cologne cédrat,eau de parfum,222.3,0.0,222.3,,
notino,hombre,sospiro,afgano puro,eau de parfum,259.0,0.0,259.0,,
notino,hombre,sospiro,cadenza,eau de parfum,197.7,0.0,197.7,,
notino,hombre,sospiro,erba pura magica,eau de parfum,193.0,0.0,193.0,,
notino,hombre,sospiro,liberto,eau de parfum,228.4,0.0,228.4,,
notino,hombre,ormonde jayne,indus,eau de parfum,132.5,0.0,132.5,,
notino,hombre,sospiro,accento viola,eau de parfum,272.2,0.0,272.2,,
notino,hombre,sospiro,tenore,eau de parfum,228.4,0.0,228.4,,
notino,hombre,sospiro,opera grande,eau de parfum,259.0,0.0,259.0,,
notino,hombre,sospiro,prima donna,eau de parfum,197.7,0.0,197.7,,
notino,hombre,sospiro,erba oud,eau de parfum,228.1,0.0,228.1,,
notino,hombre,eutopie,no. 10,eau de parfum,155.0,0.0,155.0,,
notino,hombre,eutopie,no. 8,eau de parfum,155.0,0.0,155.0,,
notino,hombre,eutopie,no. 6,eau de parfum,155.0,0.0,155.0,,
notino,hombre,eutopie,no. 11,eau de parfum,155.0,0.0,155.0,,
notino,hombre,eutopie,no. 2,eau de parfum,155.0,0.0,155.0,,
notino,hombre,eutopie,no. 4,eau de parfum,155.0,0.0,155.0,,
notino,hombre,eutopie,no. 9,eau de parfum,155.0,0.0,155.0,,
notino,hombre,dolce&gabbana,k by dolce & gabbana,eau de toilette,109.0,28.99,77.4,4.5,2.0
notino,hombre,banderas,power of seduction,eau de toilette,13.9,0.0,13.9,,
notino,hombre,banderas,the secret temptation,eau de toilette,18.6,0.0,18.6,,
notino,hombre,benetton,colors de benetton man green,eau de toilette,19.2,0.0,19.2,,
notino,hombre,bois 1920,classic 1920,eau de parfum,106.0,0.0,106.0,,
notino,hombre,roja parfums,great britain,parfum,1999.8,30.92,1381.5,5.0,1.0
notino,hombre,creed,aventus cologne,eau de parfum,243.6,0.0,243.6,,
notino,hombre,calvin klein,eternity for men,eau de parfum,92.0,55.65,40.8,3.0,2.0
notino,hombre,masaki matsushima,bois d'hinoki,eau de parfum,79.0,20.0,63.2,4.0,1.0
notino,hombre,benetton,colors de benetton man blue,eau de toilette,17.1,0.0,17.1,,
notino,hombre,van cleef & arpels,collection extraordinaire rose rouge,eau de parfum,152.5,0.0,152.5,,
notino,hombre,police,to be tattooart,eau de toilette,13.9,0.0,13.9,,
notino,hombre,police,to be exotic jungle,eau de toilette,11.9,0.0,11.9,,
notino,hombre,bois 1920,itruk,eau de parfum,136.3,0.0,136.3,,
notino,hombre,bois 1920,nagud,eau de parfum,168.3,0.0,168.3,,
notino,hombre,bois 1920,come il sole,eau de parfum,105.0,0.0,105.0,,
notino,hombre,just jack,simply blanc,eau de parfum,23.52,30.27,16.4,4.4,18.0
notino,hombre,diesel,spirit of the brave intense,eau de parfum,50.9,0.0,50.9,,
notino,hombre,mercedes-benz,the move,eau de toilette,42.9,0.0,42.9,,
notino,hombre,maison margiela,replica springtime in a park,eau de toilette,65.0,0.0,65.0,,
notino,hombre,maison margiela,replica sailing day,eau de toilette,30.0,0.0,30.0,,
notino,hombre,guess,guess man gold,eau de toilette,30.5,0.0,30.5,,
notino,hombre,salvatore ferragamo,ferragamo,eau de toilette,35.3,0.0,35.3,,
notino,hombre,ralph lauren,the big pony 1 blue,eau de toilette,27.8,0.0,27.8,,
notino,hombre,just jack,black tuxedo,eau de parfum,47.0,20.21,37.5,4.5,2.0
notino,hombre,just jack,mystery,eau de parfum,44.1,29.93,30.9,4.3,3.0
notino,hombre,str8,faith,eau de toilette,7.8,0.0,7.8,,
notino,hombre,dermacol,fresh pine & pepper,eau de parfum,30.8,10.06,27.7,5.0,1.0
notino,hombre,lacoste,match point,eau de toilette,90.5,54.48,41.2,5.0,1.0
notino,hombre,l’occitane,men,eau de toilette,58.0,0.0,58.0,,
notino,hombre,calvin klein,eternity for men cologne,eau de toilette,47.2,0.0,47.2,,
notino,hombre,viktor & rolf,spicebomb night vision,eau de parfum,86.4,0.0,86.4,,
notino,hombre,atkinsons,iconic 44 gerrard street,eau de cologne,126.5,0.0,126.5,,
notino,hombre,dior,dior homme,eau de toilette,80.3,0.0,80.3,,
notino,hombre,loewe,esencia,eau de parfum,110.4,0.0,110.4,,
notino,hombre,loewe,agua él,eau de toilette,70.4,0.0,70.4,,
notino,hombre,bulgari,bvlgari man glacial essence,eau de parfum,71.0,0.0,71.0,,
notino,hombre,loewe,001 man,eau de toilette,83.5,0.0,83.5,,
notino,hombre,ralph lauren,polo red,eau de parfum,78.9,0.0,78.9,,
notino,hombre,guerlain,les absolus d'orient cuir intense,eau de parfum,162.9,0.0,162.9,,
notino,hombre,police,deep blue,eau de toilette,18.9,0.0,18.9,,
notino,hombre,pino silvestre,acqua di pino fougère,eau de toilette,32.0,41.25,18.8,5.0,1.0
notino,hombre,pino silvestre,acqua di pino cologne,eau de cologne,32.0,59.38,13.0,1.0,1.0
notino,hombre,al haramain,platinum oud 50 years,eau de parfum,58.3,0.0,58.3,,
notino,hombre,mercedes-benz,man bright,eau de parfum,56.7,0.0,56.7,,
notino,hombre,laura biagiotti,roma uomo green swing,eau de toilette,28.2,0.0,28.2,,
notino,hombre,tous,1920,eau de parfum,29.2,0.0,29.2,,
notino,hombre,teatro fragranze,diamante,eau de parfum,124.2,0.0,124.2,,
notino,hombre,halloween,man rock on,eau de toilette,54.6,56.96,23.5,4.0,2.0
notino,hombre,bruno banani,loyal man,eau de parfum,10.9,0.0,10.9,,
notino,hombre,bruno banani,man,eau de parfum,10.9,0.0,10.9,,
notino,hombre,dunhill,icon racing blue,eau de parfum,44.8,0.0,44.8,,
